id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class,id2023,form2023
O.H. Ivie Lake/Reservoir,O.H. Ivie Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Fort Phantom Hill Lake/Reservoir,Fort Phantom Hill Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
1103189,North Texas Mwd Tawakoni Wtp,water system,,,,,,,,,,,,,,,,,,,,TX1290052,Y,Municipal Short,District ,1103189,Municipal
Granbury Lake/Reservoir,Granbury Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
350,Lake Granbury,water system,,,,,,,,,,,,,,,,,,,,,,,,,
1100643,West Harris County Regional Water Authority,water system,,,,,,,,,,,,,,,,,,,,TX1013303,Y,Municipal Short,Authority,1100643,Municipal
San Jacinto Basin (Source Unknown),San Jacinto Basin (Source Unknown),water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
206800,Dallas Water Utility,water system,2022.0,N," 1,321,740 "," 27,073,484,411 "," 281,331 ",,," 40,276,586,090 "," 55,706 ",,," 1,593,293,800 "," 1,709 ",,," 68,944,158,901 "," 338,748 "," 3,344,906,821 ",,TX0570004,N,Municipal Long,Municipal,206800,Municipal
241200,City Of Dumas,water system,2022.0,N," 14,290 "," 543,413,000 "," 4,799 "," 3,142,600 ", 4 ," 176,746,700 ", 510 ,,," 30,371,500 ", 101 ,,," 753,673,800 "," 5,414 "," 155,132,459 ", 346 ,TX1710001,N,Municipal Long,Municipal,241200,Municipal
432800,City Of Jacksonville,water system,2022.0,N," 14,544 "," 373,064,161 "," 5,280 ",,," 213,184,666 ", 880 ," 38,768,129 ", 5 ," 73,911,641 ", 5 ,,," 698,928,597 "," 6,170 "," 10,000,000 ", 26 ,TX0370002,N,Municipal Long,Municipal,432800,Municipal
809010,South Texas Water Authority,water system,,,,,,,,,,,,,,,,,,,,TX1370035,Y,Municipal Short,Authority,809010,Municipal
Edwards-Bfz Aquifer,Edwards-Bfz Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Edwards-Trinity-Plateau Aquifer,Edwards-Trinity-Plateau Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
685400,City Of Plano,water system,2022.0,N," 285,150 "," 10,283,145,640 "," 73,564 "," 145,624,900 "," 43,221 "," 6,621,336,740 "," 9,645 "," 18,997,220 ", 25 ," 939,705,570 "," 1,469 ",,," 18,008,810,070 "," 127,924 ",,,TX0430007,N,Municipal Long,Municipal,685400,Municipal
770,Hidalgo Co Wcid,water system,,,,,,,,,,,,,,,,,,,,,,,,,
Nueces-Rio Grande Basin (Source Unknown),Nueces-Rio Grande Basin (Source Unknown),water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
420,West Central Texas Mwd,water system,,,,,,,,,,,,,,,,,,,,TX2150023,Y,Municipal Short,District ,420,Municipal
370401,Harris County Mud 401,water system,2022.0,N," 3,813 "," 169,518,000 "," 1,254 ",,," 10,163,000 ", 6 ,,," 207,000 ", 11 ,,," 179,888,000 "," 1,271 ",,,TX1013289,N,Municipal Long,District ,370401,Municipal
185000,City Of Corpus Christi,water system,2022.0,N," 317,863 "," 5,971,000,000 "," 88,164 "," 1,555,000,000 "," 1,833 "," 3,364,000,000 "," 6,920 "," 11,500,000,000 ", 20 ," 908,000,000 ", 986 ,,," 23,299,000,000 "," 97,925 ",,,TX1780003,N,Municipal Long,Municipal,185000,Municipal
